District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
MARION SCHOOL DISTRICT,Arkansas,3898,0.02,0.12,14.58,1.043,0
MAYFLOWER SCHOOL DISTRICT,Arkansas,1121,0,0.15,12.62,0.905,0
MCGEHEE SCHOOL DISTRICT,Arkansas,1240,0.03,0.14,11.36,0.905,0
MENA SCHOOL DISTRICT,Arkansas,1737,0.01,0.12,13.86,0.956,0
MONTICELLO SCHOOL DISTRICT,Arkansas,2020,0.01,0.1,12.65,1.068,0
MOUNTAIN HOME SCHOOL DISTRICT,Arkansas,3858,0.01,0.1,13.9,0.973,0
MOUNTAIN VIEW SCHOOL DISTRICT,Arkansas,1731,0,0.14,12.06,0.951,0
N. LITTLE ROCK SCHOOL DISTRICT,Arkansas,9015,0.06,0.12,15.52,1.544,0
NASHVILLE SCHOOL DISTRICT,Arkansas,1932,0.15,0.14,13.34,0.999,0
NETTLETON SCHOOL DISTRICT,Arkansas,3420,0.05,0.16,13.68,1.219,0
NEWPORT SCHOOL DISTRICT,Arkansas,1272,0.04,0.17,12.52,1.25,0
OSCEOLA SCHOOL DISTRICT,Arkansas,1238,0.01,0.11,12.02,0.965,0
OZARK SCHOOL DISTRICT,Arkansas,1904,0.01,0.11,14.13,0.966,0
PARAGOULD SCHOOL DISTRICT,Arkansas,3301,0.04,0.15,14.52,0.963,0
PARIS SCHOOL DISTRICT,Arkansas,1133,0.02,0.12,12.43,0.955,0
PEA RIDGE SCHOOL DISTRICT,Arkansas,2103,0.02,0.11,14.96,1.015,0
PINE BLUFF SCHOOL DISTRICT,Arkansas,4070,0,0.13,14.22,1.03,0
POCAHONTAS SCHOOL DISTRICT,Arkansas,1952,0.01,0.18,14.94,0.983,0
POTTSVILLE SCHOOL DISTRICT,Arkansas,1750,0.03,0.13,13.54,0.963,0
PRAIRIE GROVE SCHOOL DISTRICT,Arkansas,1929,0.03,0.1,15.1,1.396,0
PULASKI CO. SPEC. SCHOOL DIST.,Arkansas,12926,0.05,0.14,13.89,0.952,0
RIVERCREST SCHOOL DISTRICT #57,Arkansas,1246,0.01,0.09,13.12,1.065,0
RIVERVIEW SCHOOL DISTRICT,Arkansas,1344,0.07,0.12,12.47,0.991,0
ROGERS SCHOOL DISTRICT,Arkansas,15739,0.34,0.12,16,0.905,0
RUSSELLVILLE SCHOOL DISTRICT,Arkansas,5451,0.13,0.12,13.05,1.176,0
SEARCY SCHOOL DISTRICT,Arkansas,4106,0.03,0.13,14.93,0.883,0
SHERIDAN SCHOOL DISTRICT,Arkansas,4238,0.03,0.11,16.36,0.911,0
SILOAM SPRINGS SCHOOL DISTRICT,Arkansas,4348,0.19,0.12,15.12,1.051,0
SMACKOVER SCHOOL DISTRICT,Arkansas,1235,0.01,0.1,12.28,0.851,0
SO. CONWAY CO. SCHOOL DISTRICT,Arkansas,2328,0.03,0.12,14.28,0.989,0
SOUTHSIDE SCHOOL DISTRICT,Arkansas,1950,0.02,0.16,15.49,1.048,0
SPRINGDALE SCHOOL DISTRICT,Arkansas,22771,0.45,0.1,14.84,0.993,0
STAR CITY SCHOOL DISTRICT,Arkansas,1588,0.01,0.11,13.41,1.065,0
STUTTGART SCHOOL DISTRICT,Arkansas,1615,0.04,0.12,12.46,0.96,0
TEXARKANA SCHOOL DISTRICT,Arkansas,4610,0.01,0.09,14.4,1.059,0
TRUMANN SCHOOL DISTRICT,Arkansas,1629,0.03,0.15,13.28,1.046,0
VALLEY VIEW SCHOOL DISTRICT,Arkansas,2843,0.02,0.1,14.94,0.916,0
VAN BUREN SCHOOL DISTRICT,Arkansas,5897,0.1,0.14,14.88,0.943,0
VILONIA SCHOOL DISTRICT,Arkansas,3255,0.02,0.14,15.38,1.06,0
WALDRON SCHOOL DISTRICT,Arkansas,1627,0.08,0.13,12.63,0.99,0
WARREN SCHOOL DISTRICT,Arkansas,1599,0.07,0.12,12.45,0.964,0
WATSON CHAPEL SCHOOL DISTRICT,Arkansas,2591,0.01,0.1,13.25,0.979,0
WEST FORK SCHOOL DISTRICT,Arkansas,1120,0.01,0.14,13.77,1.096,0
WEST MEMPHIS SCHOOL DISTRICT,Arkansas,5667,0,0.11,13.74,0.947,0
WESTSIDE CONS. SCHOOL DISTRICT,Arkansas,1797,0.01,0.16,13.68,0.937,0
WHITE HALL SCHOOL DISTRICT,Arkansas,2808,0.01,0.11,14.06,0.956,0
WYNNE SCHOOL DISTRICT,Arkansas,2665,0.01,0.14,13.31,1.06,0
ABC UNIFIED,California,20768,0.21,0.1,25.15,1.005,0
ACALANES UNION HIGH,California,5530,0.02,0.1,20.67,1.009,0
ACTON-AGUA DULCE UNIFIED,California,10016,0.01,0.1,18.84,0.793,0
ADELANTO ELEMENTARY,California,10288,0.14,0.16,26.97,1.036,0
ALAMEDA COUNTY OFFICE OF EDUCATION,California,2870,0.02,0.08,20.67,0.81,0
ALAMEDA UNIFIED,California,11201,0.14,0.12,22.15,0.903,0
ALBANY CITY UNIFIED,California,3702,0.18,0.08,21.68,1.036,0
ALHAMBRA UNIFIED,California,17071,0.22,0.09,25.38,0.987,0
ALISAL UNION,California,9235,0.72,0.09,26.01,0.99,0
ALPINE UNION ELEMENTARY,California,1745,0.05,0.13,23.48,0.874,0
ALTA LOMA ELEMENTARY,California,5988,0.06,0.12,26.33,0.906,0
ALUM ROCK UNION ELEMENTARY,California,11624,0.4,0.14,22.7,0.955,0
ALVORD UNIFIED,California,19255,0.37,0.12,24.1,1.001,0
AMADOR COUNTY UNIFIED,California,3864,0.02,0.17,22.89,1.059,0
ANAHEIM ELEMENTARY,California,18558,0.58,0.13,26.11,1.029,0
ANAHEIM UNION HIGH,California,30964,0.21,0.12,26.04,0.996,0
ANDERSON UNION HIGH,California,1812,0.03,0.1,22,1.017,0
ANTELOPE VALLEY UNION HIGH,California,23905,0.09,0.15,23.08,1.007,0
ANTIOCH UNIFIED,California,17326,0.19,0.15,24.46,1.218,0
APPLE VALLEY UNIFIED,California,14370,0.1,0.13,24.09,0.924,0
ARCADIA UNIFIED,California,9525,0.14,0.07,25.62,1.243,0
ARCATA ELEMENTARY,California,1064,0.02,0.16,17.82,1.195,0
ARMONA UNION ELEMENTARY,California,1542,0.22,0.12,18.92,0.933,0
AROMAS/SAN JUAN UNIFIED,California,1118,0.23,0.11,22.63,1.21,0
ARVIN UNION,California,3028,0.69,0.1,21.17,0.963,0
ATASCADERO UNIFIED,California,4636,0.08,0.12,23.39,1.223,0
ATWATER ELEMENTARY,California,4964,0.29,0.12,28.98,0.936,0
AUBURN UNION ELEMENTARY,California,2035,0.16,0.13,24.05,1.067,0
AZUSA UNIFIED,California,8782,0.27,0.14,22.85,1.019,0
BAKERSFIELD CITY,California,30372,0.29,0.1,22.12,1.015,0
BALDWIN PARK UNIFIED,California,17733,0.19,0.13,21.67,0.95,0
BANNING UNIFIED,California,4541,0.18,0.13,22.65,0.933,0
BARSTOW UNIFIED,California,6154,0.11,0.14,25.95,0.867,0
BASSETT UNIFIED,California,3689,0.3,0.15,23.54,1.093,0
BEAR VALLEY UNIFIED,California,2523,0.14,0.14,23.39,0.805,0
BEARDSLEY ELEMENTARY,California,1810,0.09,0.14,21.81,0.918,0
BEAUMONT UNIFIED,California,9975,0.12,0.13,26.34,0.908,0
BELLEVUE UNION,California,1895,0.57,0.18,22.41,1.055,0
BELLFLOWER UNIFIED,California,12297,0.21,0.13,22.85,1.102,0
BELMONT-REDWOOD SHORES ELEMENTARY,California,4230,0.08,0.11,24.27,1.244,0
BENICIA UNIFIED,California,4856,0.03,0.1,22.83,0.937,0
BENNETT VALLEY UNION ELEMENTARY,California,1035,0.12,0.11,23,0.952,0
BERKELEY UNIFIED,California,10239,0.09,0.12,19.71,0.982,0
BERRYESSA UNION ELEMENTARY,California,7296,0.34,0.11,24.17,0.93,0
BEVERLY HILLS UNIFIED,California,4023,0.06,0.13,17.01,1.354,0
BISHOP UNIFIED,California,1890,0.16,0.09,21.67,0.992,0
BLACK OAK MINE UNIFIED,California,1253,0.01,0.16,23.38,1.061,0
BLOCHMAN UNION ELEMENTARY,California,1277,0.02,0.08,17.87,0.776,0
BONITA UNIFIED,California,10245,0.06,0.1,25.27,1.001,0
BONSALL UNIFIED,CALIFORNIA,2859,0.14,0.13,20.52,0.774,0
BRAWLEY ELEMENTARY,California,3992,0.33,0.13,24.49,1.144,0
BRAWLEY UNION HIGH,California,1846,0.23,0.11,24.19,0.959,0
BREA-OLINDA UNIFIED,California,5909,0.1,0.1,26.03,0.737,0
BRENTWOOD UNION ELEMENTARY,California,8917,0.1,0.14,24.89,0.98,0
BUCKEYE UNION ELEMENTARY,California,5216,0.03,0.13,24.11,1.043,0
BUENA PARK ELEMENTARY,California,4837,0.4,0.11,24.72,1.077,0
BURBANK UNIFIED,California,16104,0.11,0.12,24.1,0.952,0
BURLINGAME ELEMENTARY,California,3410,0.18,0.09,22.49,0.962,0
BURTON ELEMENTARY,California,4681,0.24,0.07,23.62,0.994,0
BUTTE COUNTY OFFICE OF EDUCATION,California,1213,0.01,0.04,15.37,0.965,0
BYRON UNION ELEMENTARY,California,2234,0.05,0.14,21.34,0.979,0
CABRILLO UNIFIED,California,3279,0.27,0.11,24.14,0.802,0
CAJON VALLEY UNION,California,16924,0.33,0.12,24.06,1.102,0
CALAVERAS UNIFIED,California,2933,0.02,0.2,23.13,1.043,0
CALEXICO UNIFIED,California,9252,0.66,0.1,23.59,0.973,0
CALIPATRIA UNIFIED,California,1150,0.36,0.11,17.56,1.078,0
CAMBRIAN,California,3514,0.13,0.13,23.33,1.213,0
CAMPBELL UNION,California,7465,0.31,0.11,22.47,1.07,0
CAMPBELL UNION HIGH,California,7810,0.08,0.12,22.61,1.011,0
CAPISTRANO UNIFIED,California,53613,0.09,0.11,26.75,0.942,0
CARLSBAD UNIFIED,California,11169,0.07,0.12,25.91,0.993,0
CARMEL UNIFIED,California,2509,0.06,0.08,17.46,0.963,0
CARPINTERIA UNIFIED,California,2269,0.37,0.11,21.01,1.012,0
CARUTHERS UNIFIED,California,1442,0.26,0.1,20.2,1.216,0
CASCADE UNION ELEMENTARY,California,1080,0.13,0.15,20.77,1.068,0
CASTAIC UNION,California,2234,0.12,0.13,26.02,1.018,0
CASTRO VALLEY UNIFIED,California,9358,0.1,0.09,24.25,0.993,0
CENTER JOINT UNIFIED,California,4477,0.17,0.16,23.67,0.939,0
CENTINELA VALLEY UNION HIGH,California,7572,0.14,0.12,22.46,0.987,0
CENTRAL ELEMENTARY,California,4539,0.12,0.14,24.36,1.028,0
CENTRAL UNIFIED,California,15772,0.12,0.1,24.6,0.985,0
CENTRAL UNION ELEMENTARY,California,1777,0.11,0.09,19.45,1.021,0
CENTRAL UNION HIGH,California,4119,0.25,0.1,23.46,0.888,0
CENTRALIA ELEMENTARY,California,4417,0.34,0.13,25.83,1.009,0
CERES UNIFIED,California,14507,0.28,0.1,23.55,1.102,0
CHAFFEY JOINT UNION HIGH,California,23894,0.09,0.13,24.48,1.194,0
CHARTER OAK UNIFIED,California,4896,0.1,0.14,23.99,1.05,0
CHAWANAKEE UNIFIED,California,1054,0.01,0.08,20.37,1.02,0
CHICO UNIFIED,California,13975,0.07,0.13,22.85,0.928,0
CHINO VALLEY UNIFIED,California,28886,0.11,0.14,25.34,0.935,0
CHOWCHILLA ELEMENTARY,California,2203,0.29,0.1,23.36,0.927,0
CHOWCHILLA UNION HIGH,California,1073,0.09,0.08,21.74,0.985,0
CHULA VISTA ELEMENTARY,California,30053,0.34,0.13,22.96,1.03,0
CLAREMONT UNIFIED,California,7066,0.06,0.11,24.97,1.017,0
CLOVERDALE UNIFIED,California,1418,0.31,0.15,19.93,1.159,0
CLOVIS UNIFIED,California,42746,0.06,0.09,25.55,1.126,0
COACHELLA VALLEY UNIFIED,California,18719,0.5,0.11,22.2,1.061,0
COALINGA-HURON UNIFIED,California,4450,0.42,0.11,23.43,1.143,0
COLTON JOINT UNIFIED,California,22774,0.23,0.12,22.5,1.003,0
COLUMBIA ELEMENTARY,California,1363,0.01,0.11,21.61,0.907,0
COLUSA UNIFIED,California,1479,0.32,0.14,20.88,1.008,0
COMPTON UNIFIED,California,23452,0.34,0.12,25.67,0.988,0
CONEJO VALLEY UNIFIED,California,18918,0.1,0.1,23.25,0.931,0
CONTRA COSTA COUNTY OFFICE OF EDUCATION,California,4872,0.02,0.06,22.33,0.835,0
CORCORAN JOINT UNIFIED,California,3334,0.28,0.11,23.15,1.034,0
CORNING UNION ELEMENTARY,California,2113,0.43,0.13,23.21,0.982,0
CORONADO UNIFIED,California,3064,0.03,0.12,23.57,0.918,0
CORONA-NORCO UNIFIED,California,53157,0.14,0.13,25.37,0.97,0
COTATI-ROHNERT PARK UNIFIED,California,6272,0.18,0.12,21.51,1.089,0
COTTONWOOD UNION ELEMENTARY,California,1091,0.03,0.1,21.78,0.9,0
COVINA-VALLEY UNIFIED,California,11910,0.1,0.14,23.76,1.097,0
CUCAMONGA ELEMENTARY,California,2516,0.22,0.15,22.45,0.94,0
CULVER CITY UNIFIED,California,6856,0.11,0.09,23.38,0.967,0
CUPERTINO UNION,California,18598,0.12,0.07,23.74,1.239,0
CUTLER-OROSI JOINT UNIFIED,California,4126,0.45,0.06,22.66,0.918,0
CYPRESS ELEMENTARY,California,3969,0.15,0.1,26.95,0.993,0
DAVIS JOINT UNIFIED,California,8582,0.11,0.11,22.37,0.999,0
DEHESA ELEMENTARY,California,6322,0,0.1,20.02,1.038,0
DEL MAR UNION ELEMENTARY,California,4413,0.1,0.16,22.62,0.928,0
DEL NORTE COUNTY UNIFIED,California,3679,0.08,0.18,22.93,1.044,0
DELANO JOINT UNION HIGH,California,4224,0.29,0.09,22.62,0.974,0
DELANO UNION ELEMENTARY,California,7387,0.48,0.1,23.71,0.993,0
DELHI UNIFIED,California,2644,0.43,0.12,20.18,1.156,0
DENAIR UNIFIED,California,1309,0.15,0.12,22.5,0.819,0
DESERT SANDS UNIFIED,California,28958,0.24,0.11,24.95,0.99,0
DINUBA UNIFIED,California,6586,0.33,0.07,23.96,0.961,0
DIXIE ELEMENTARY,California,1982,0.1,0.14,21,1.042,0
DIXON UNIFIED,California,3663,0.21,0.14,28.27,0.982,0
DOS PALOS ORO LOMA JOINT UNIFIED,California,2325,0.27,0.12,22.97,1.162,0
DOWNEY UNIFIED,California,22303,0.15,0.14,25.01,1.039,0
DRY CREEK JOINT ELEMENTARY,California,6728,0.17,0.11,22.52,0.939,0
DUARTE UNIFIED,California,3733,0.27,0.15,22.39,1.022,0
DUBLIN UNIFIED,California,10680,0.1,0.08,23.25,1.286,0
EARLIMART ELEMENTARY,California,1939,0.77,0.04,22.36,1.077,0
EAST SIDE UNION HIGH,California,27049,0.14,0.11,23.22,1.015,0
EAST WHITTIER CITY ELEMENTARY,California,8829,0.13,0.12,24.64,0.98,0
EASTSIDE UNION ELEMENTARY,California,3397,0.27,0.13,23,1.091,0
EDISON ELEMENTARY,California,1059,0.28,0.08,23.53,1.015,0
EL CENTRO ELEMENTARY,California,6049,0.41,0.12,25.55,0.94,0
EL DORADO COUNTY OFFICE OF EDUCATION,California,1029,0.04,0.03,15.4,0.99,0
EL DORADO UNION HIGH,California,6649,0.01,0.13,23.18,1.072,0
EL MONTE CITY,California,8453,0.37,0.13,22.15,1.038,0
EL MONTE UNION HIGH,California,9033,0.2,0.12,21.76,1.004,0
EL RANCHO UNIFIED,California,8754,0.21,0.12,24.51,0.964,0
EL SEGUNDO UNIFIED,California,3469,0.04,0.07,24.62,0.893,0
ELK GROVE UNIFIED,California,63061,0.17,0.12,22.79,1.048,0
EMPIRE UNION ELEMENTARY,California,3025,0.27,0.15,24.69,0.879,0
ENCINITAS UNION ELEMENTARY,California,5313,0.1,0.13,24.94,0.934,0
ENTERPRISE ELEMENTARY,California,3786,0.09,0.14,23.63,0.977,0
ESCALON UNIFIED,California,2895,0.21,0.1,22.88,1.189,0
ESCONDIDO UNION,California,18965,0.38,0.12,22.48,0.977,0
ESCONDIDO UNION HIGH,California,9578,0.13,0.11,22.39,0.914,0
ETIWANDA ELEMENTARY,California,13992,0.09,0.15,25.64,0.93,0
EUREKA CITY SCHOOLS,California,3767,0.17,0.19,22.59,1.027,0
EUREKA UNION,California,3383,0.06,0.12,24.33,0.999,0
EVERGREEN ELEMENTARY,California,11794,0.23,0.1,27.83,0.947,0
EVERGREEN UNION,California,1192,0.04,0.11,21.18,0.949,0
EXETER UNIFIED,California,2851,0.21,0.08,24.41,0.959,0
FAIRFAX ELEMENTARY,California,2699,0.4,0.11,22.91,1.276,0
FAIRFIELD-SUISUN UNIFIED,California,21607,0.14,0.13,25.03,0.942,0
FALL RIVER JOINT UNIFIED,California,1232,0.09,0.16,19.2,0.951,0
FALLBROOK UNION ELEMENTARY,California,5006,0.32,0.16,24.07,0.996,0
FALLBROOK UNION HIGH,California,2264,0.13,0.13,20.9,0.943,0
FARMERSVILLE UNIFIED,California,2561,0.4,0.05,23.85,1.002,0
FILLMORE UNIFIED,California,3757,0.3,0.16,22.9,0.918,0
FIREBAUGH-LAS DELTAS UNIFIED,California,2290,0.37,0.09,21.45,1.041,0
FOLSOM-CORDOVA UNIFIED,California,20312,0.11,0.13,23.26,1.025,0
FONTANA UNIFIED,California,38014,0.31,0.13,23.21,0.933,0
FORT BRAGG UNIFIED,California,1891,0.18,0.1,18.54,1.13,0
FORTUNA ELEMENTARY,California,1377,0.2,0.23,19.58,0.969,0
FORTUNA UNION HIGH,California,1105,0.07,0.16,21.48,1.193,0
FOUNTAIN VALLEY ELEMENTARY,California,6387,0.14,0.08,26.67,0.993,0
FOWLER UNIFIED,California,2562,0.24,0.1,22.52,1.051,0
FRANKLIN-MCKINLEY ELEMENTARY,California,10735,0.36,0.11,24.67,0.964,0
FREMONT UNIFIED,California,35171,0.16,0.1,24.5,0.942,0
FREMONT UNION HIGH,California,10869,0.08,0.1,24.11,1.025,0
FRESNO COUNTY OFFICE OF EDUCATION,California,2888,0.07,0.03,14.63,1.001,0
FRESNO UNIFIED,California,73356,0.21,0.11,23.17,1.028,0
FRUITVALE ELEMENTARY,California,3211,0.05,0.1,25.86,0.968,0
FULLERTON ELEMENTARY,California,13363,0.28,0.11,27.66,0.965,0
FULLERTON JOINT UNION HIGH,California,13983,0.1,0.09,29.71,0.959,0
GALT JOINT UNION ELEMENTARY,California,3616,0.22,0.16,20.19,0.96,0
GALT JOINT UNION HIGH,California,2191,0.07,0.13,21.38,0.983,0
GARDEN GROVE UNIFIED,California,44223,0.39,0.12,24.12,0.948,0
GARVEY ELEMENTARY,California,4805,0.42,0.11,23.92,0.956,0
GATEWAY UNIFIED,California,2801,0.02,0.16,20.33,0.942,0
GILROY UNIFIED,California,11959,0.21,0.13,25.22,1.026,0
GLENDALE UNIFIED,California,26075,0.23,0.1,24.82,0.953,0
GLENDORA UNIFIED,California,7538,0.06,0.15,24.38,0.95,0
GOLDEN PLAINS UNIFIED,California,1709,0.57,0.09,23.6,0.978,0
GOLDEN VALLEY UNIFIED,California,1875,0.05,0.12,20.62,0.948,0
GOLETA UNION ELEMENTARY,California,3571,0.3,0.1,20.12,0.978,0
GONZALES UNIFIED,California,2424,0.47,0.1,22.54,0.89,0
GORMAN JOINT,California,2491,0.01,0.04,24.86,0.796,0
GRASS VALLEY ELEMENTARY,California,1736,0.08,0.16,20.92,1.016,0
GREENFIELD UNION,California,9361,0.27,0.1,22.46,1.003,0
GREENFIELD UNION ELEMENTARY,California,3522,0.62,0.11,23.15,0.922,0
GRIDLEY UNIFIED,California,2021,0.17,0.12,22.4,1.014,0
GROSSMONT UNION HIGH,California,21709,0.09,0.14,24.48,1.028,0
GUADALUPE UNION ELEMENTARY,California,1280,0.56,0.09,22.86,1.047,0
GUSTINE UNIFIED,California,1890,0.34,0.13,22.23,1.015,0
HACIENDA LA PUENTE UNIFIED,California,18883,0.2,0.1,23.82,0.968,0
HANFORD ELEMENTARY,California,5954,0.25,0.11,24.02,0.934,0
HANFORD JOINT UNION HIGH,California,3799,0.09,0.12,23.51,0.853,0
HART-RANSOM UNION ELEMENTARY,California,1189,0.09,0.07,21.78,0.891,0
HAWTHORNE,California,8573,0.34,0.11,23.55,1.011,0
HAYWARD UNIFIED,California,22922,0.28,0.11,23.91,1.039,0
HEALDSBURG UNIFIED,California,1611,0.27,0.12,18.72,1.405,0
HEBER ELEMENTARY,California,1245,0.52,0.11,21.75,0.927,0
HELENDALE ELEMENTARY,California,2669,0.02,0.11,23.06,0.949,0
HEMET UNIFIED,California,21710,0.13,0.15,22.87,1.12,0
HERMOSA BEACH CITY ELEMENTARY,California,1378,0.02,0.09,23.95,0.881,0
HESPERIA UNIFIED,California,23844,0.18,0.12,24.04,0.952,0
HILLSBOROUGH CITY ELEMENTARY,California,1483,0.01,0.11,17.28,1.029,0
HILMAR UNIFIED,California,2403,0.23,0.1,21.51,0.979,0
HOLLISTER,California,5749,0.34,0.13,22.31,1.075,0
HOLTVILLE UNIFIED,California,1598,0.44,0.09,21.1,0.93,0
HOPE ELEMENTARY,California,1010,0.15,0.12,22.2,1.328,0
HUENEME ELEMENTARY,California,8379,0.48,0.12,24.3,1.074,0
HUGHSON UNIFIED,California,2088,0.24,0.11,22.72,0.939,0
HUNTINGTON BEACH CITY ELEMENTARY,California,7155,0.05,0.11,27.42,0.947,0
HUNTINGTON BEACH UNION HIGH,California,16140,0.09,0.11,25.6,0.968,0
IMPERIAL UNIFIED,California,4122,0.23,0.11,24.84,1.018,0
INGLEWOOD UNIFIED,California,12570,0.26,0.16,23.84,0.946,0
INYO COUNTY OFFICE OF EDUCATION,California,1946,0.24,0.02,25.61,1.011,0
IRVINE UNIFIED,California,33381,0.19,0.09,27.2,1.412,0
JEFFERSON ELEMENTARY,California,7039,0.41,0.1,21.91,0.874,0
JEFFERSON ELEMENTARY,California,2317,0.18,0.09,21.75,1.713,0
JEFFERSON UNION HIGH,California,4862,0.13,0.11,22.48,1.15,0
JOHN SWETT UNIFIED,California,1714,0.16,0.15,20.85,1.018,0
JULIAN UNION ELEMENTARY,California,4367,0.01,0.13,22.78,0.969,0
JURUPA UNIFIED,California,19194,0.33,0.12,23.06,0.96,0
KELSEYVILLE UNIFIED,California,1724,0.15,0.12,18.48,1.014,0
KENTFIELD ELEMENTARY,California,1257,0.06,0.1,18.22,0.951,0
KEPPEL UNION ELEMENTARY,California,2628,0.32,0.16,24.19,0.975,0
KERMAN UNIFIED,California,5134,0.37,0.11,24.56,0.96,0
KERN COUNTY OFFICE OF EDUCATION,California,4389,0.07,0.03,17.56,0.925,0
KERN HIGH,California,38705,0.07,0.1,25.81,0.972,0
KEYES UNION,California,1140,0.31,0.11,22.41,0.996,0
KING CITY UNION,California,2681,0.61,0.17,21.82,1.027,0
KINGS CANYON JOINT UNIFIED,California,9844,0.3,0.08,24.91,1.013,0
KINGSBURG JOINT UNION HIGH,California,1160,0.06,0.09,19.89,0.862,0
KONOCTI UNIFIED,California,3365,0.21,0.13,22.87,1.009,0
LA CANADA UNIFIED,California,4132,0.05,0.08,24.05,0.981,0
LA HABRA CITY ELEMENTARY,California,4726,0.33,0.13,25.8,1.017,0
LA MESA-SPRING VALLEY,California,12289,0.19,0.14,26.07,0.96,0
LAFAYETTE ELEMENTARY,California,3615,0.02,0.1,24.18,1.009,0
LAGUNA BEACH UNIFIED,California,3025,0.04,0.12,21.76,0.963,0
LAKE ELSINORE UNIFIED,California,22039,0.16,0.13,23.69,0.947,0
LAKE TAHOE UNIFIED,California,3951,0.26,0.13,20.36,1,0
LAKEPORT UNIFIED,California,1534,0.08,0.14,22.08,1.011,0
LAKESIDE UNION,California,1374,0.16,0.14,23.47,1.009,0
LAKESIDE UNION ELEMENTARY,California,6313,0.05,0.13,24.95,1.139,0
LAMONT ELEMENTARY,California,3075,0.62,0.08,26.61,1.042,0
LANCASTER ELEMENTARY,California,15213,0.17,0.14,24.78,0.992,0
LARKSPUR-CORTE MADERA,California,1523,0.03,0.11,20.94,1.441,0
LAS LOMITAS ELEMENTARY,California,1386,0.07,0.11,19.31,0.861,0
LAS VIRGENES UNIFIED,California,11547,0.08,0.11,24.13,0.962,0
LAWNDALE ELEMENTARY,California,6028,0.35,0.12,22.72,0.995,0
LEMON GROVE,California,3797,0.29,0.13,24.67,0.971,0
LEMOORE UNION ELEMENTARY,California,3249,0.18,0.1,22.25,1.018,0
LEMOORE UNION HIGH,California,2184,0.08,0.13,20.23,0.9,0
LENNOX,California,7217,0.39,0.12,21.56,1.163,0
LIBERTY ELEMENTARY,California,1123,0.03,0.1,20.35,0.69,0
LIBERTY UNION HIGH,California,8199,0.07,0.14,22.58,1.05,0
LINCOLN UNIFIED,California,9438,0.15,0.13,23.37,1.035,0
LINDEN UNIFIED,California,2214,0.23,0.15,22.09,0.953,0
LINDSAY UNIFIED,California,4191,0.52,0.07,23.79,1.024,0
LITTLE LAKE CITY ELEMENTARY,California,4454,0.18,0.11,22.81,1.109,0
LIVE OAK ELEMENTARY,California,2069,0.31,0.13,22.84,0.911,0
LIVE OAK UNIFIED,California,1806,0.2,0.13,20.71,1.007,0
LIVERMORE VALLEY JOINT UNIFIED,California,14016,0.12,0.13,23.12,0.953,0
LIVINGSTON UNION,California,2522,0.5,0.09,23.46,0.95,0
LODI UNIFIED,California,30797,0.24,0.14,22.76,1.006,0
LOMPOC UNIFIED,California,10139,0.23,0.12,21.83,1.015,0
LONG BEACH UNIFIED,California,76428,0.2,0.13,25.98,1.066,0
LOOMIS UNION ELEMENTARY,California,4193,0.02,0.07,22.92,0.889,0
LOS ALAMITOS UNIFIED,California,9904,0.02,0.09,26.22,1.228,0
LOS ALTOS ELEMENTARY,California,4527,0.13,0.09,22.25,0.953,0
LOS ANGELES COUNTY OFFICE OF EDUCATION,California,6937,0.08,0.04,10.14,0.982,0
LOS ANGELES UNIFIED,California,633621,0.21,0.14,22.56,0.991,1
LOS BANOS UNIFIED,California,10785,0.28,0.13,25.38,1.026,0
LOS GATOS UNION ELEMENTARY,California,3263,0.03,0.08,22.57,0.933,0
LOS GATOS-SARATOGA JOINT UNION HIGH,California,3368,0.01,0.11,20.8,0.89,0
LOS NIETOS,California,1645,0.31,0.17,21.59,0.981,0
LOWELL JOINT,California,3153,0.08,0.13,26.43,0.988,0
LUCERNE VALLEY UNIFIED,California,2638,0.03,0.1,22.59,0.793,0
LUCIA MAR UNIFIED,California,10649,0.13,0.14,21.5,1.034,0
LYNWOOD UNIFIED,California,14497,0.34,0.12,23.78,1.057,0
MADERA UNIFIED,California,20779,0.29,0.1,24.85,0.969,0
MAGNOLIA ELEMENTARY,California,6277,0.52,0.1,25.99,1.05,0
MAMMOTH UNIFIED,California,1213,0.19,0.08,19.55,1.023,0
MANHATTAN BEACH UNIFIED,California,6776,0.02,0.13,25.66,1.07,0
MANTECA UNIFIED,California,23441,0.24,0.15,24.38,1.021,0
MARCUM-ILLINOIS UNION ELEMENTARY,California,2415,0.01,0.07,23.32,0.894,0
MARICOPA UNIFIED,California,3972,0.01,0.08,14.17,0.702,0
MARIPOSA COUNTY UNIFIED,California,1844,0.03,0.14,18.85,0.986,0
MARK WEST UNION ELEMENTARY,California,1475,0.12,0.1,22.87,0.871,0
MARTINEZ UNIFIED,California,4143,0.08,0.11,22.01,1.058,0
MARYSVILLE JOINT UNIFIED,California,9986,0.23,0.15,23.57,0.973,0
MCCABE UNION ELEMENTARY,California,1389,0.18,0.07,24.8,0.875,0
MCFARLAND UNIFIED,California,3570,0.42,0.08,24.14,1.219,0
MCKINLEYVILLE UNION ELEMENTARY,California,1151,0.03,0.22,20.6,1.138,0
MENDOTA UNIFIED,California,3339,0.66,0.06,23.18,0.895,0
